LDA6Topic4,LDA9Topic2,LDA11Topic4,LDA11Topic10,LDA12Topic1,LDA12Topic2,LDA12Topic6,LDA12Topic11,LDA13Topic11,LDA14Topic10,LDA17Topic7,LDA17Topic12,LDA19Topic15
0.212328767,0.006711409,0.40397351,0.006622517,0.006578947,0.006578947,0.006578947,0.401315789,0.006535948,0.006493506,0.006369427,0.006369427,0.006289308
0.238138686,0.000909918,0.282470481,0.000908265,0.000907441,0.000907441,0.073502722,0.000907441,0.372620127,0.000905797,0.037037037,0.000903342,0.000901713
0.732142857,0.186440678,0.016393443,0.016393443,0.016129032,0.016129032,0.016129032,0.016129032,0.015873016,0.015625,0.014925373,0.014925373,0.014492754
0.027777778,0.025641026,0.024390244,0.268292683,0.261904762,0.023809524,0.023809524,0.023809524,0.023255814,0.022727273,0.021276596,0.021276596,0.020408163
0.861111111,0.025641026,0.024390244,0.024390244,0.023809524,0.023809524,0.023809524,0.023809524,0.023255814,0.022727273,0.021276596,0.021276596,0.020408163
0.301470588,0.438848921,0.007092199,0.219858156,0.007042254,0.007042254,0.007042254,0.007042254,0.006993007,0.006944444,0.006802721,0.006802721,0.006711409
0.0625,0.052631579,0.047619048,0.047619048,0.045454545,0.045454545,0.045454545,0.045454545,0.043478261,0.458333333,0.037037037,0.037037037,0.034482759
0.038461538,0.034482759,0.032258065,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.538461538
0.423076923,0.034482759,0.032258065,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.297297297,0.027027027,0.025641026
0.006849315,0.610738255,0.602649007,0.006622517,0.138157895,0.203947368,0.006578947,0.006578947,0.006535948,0.006493506,0.006369427,0.006369427,0.006289308
0.038461538,0.724137931,0.677419355,0.032258065,0.03125,0.03125,0.65625,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.025641026
0.004424779,0.179039301,0.004329004,0.004329004,0.004310345,0.219827586,0.004310345,0.521551724,0.004291845,0.004273504,0.004219409,0.004219409,0.0041841
0.038461538,0.724137931,0.032258065,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.025641026
0.015151515,0.449275362,0.295774648,0.014084507,0.013888889,0.013888889,0.013888889,0.708333333,0.01369863,0.013513514,0.012987013,0.012987013,0.012658228
0.276315789,0.012658228,0.62962963,0.012345679,0.012195122,0.012195122,0.012195122,0.012195122,0.012048193,0.011904762,0.011494253,0.011494253,0.011235955
0.002659574,0.002638522,0.002624672,0.002624672,0.002617801,0.002617801,0.945026178,0.002617801,0.002610966,0.002604167,0.002583979,0.002583979,0.002570694
0.038461538,0.034482759,0.032258065,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.538461538
0.166666667,0.007751938,0.007633588,0.694656489,0.007575758,0.007575758,0.007575758,0.007575758,0.007518797,0.082089552,0.00729927,0.00729927,0.007194245
0.038461538,0.034482759,0.677419355,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.025641026
0.00390625,0.003861004,0.003831418,0.003831418,0.652671756,0.003816794,0.003816794,0.309160305,0.003802281,0.003787879,0.003745318,0.003745318,0.003717472
0.673913043,0.020408163,0.019607843,0.019607843,0.019230769,0.019230769,0.019230769,0.019230769,0.20754717,0.018518519,0.01754386,0.192982456,0.186440678
0.038461538,0.034482759,0.032258065,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.297297297,0.027027027,0.282051282
0.017857143,0.016949153,0.016393443,0.016393443,0.016129032,0.016129032,0.016129032,0.016129032,0.015873016,0.015625,0.611940299,0.014925373,0.014492754
0.027777778,0.025641026,0.756097561,0.024390244,0.023809524,0.023809524,0.023809524,0.023809524,0.023255814,0.022727273,0.021276596,0.021276596,0.020408163
0.027777778,0.282051282,0.268292683,0.024390244,0.023809524,0.023809524,0.023809524,0.023809524,0.023255814,0.022727273,0.021276596,0.021276596,0.428571429
0.038461538,0.724137931,0.677419355,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.025641026
0.003759398,0.412639405,0.667896679,0.003690037,0.003676471,0.003676471,0.224264706,0.003676471,0.003663004,0.003649635,0.003610108,0.003610108,0.146953405
0.963235294,0.007194245,0.007092199,0.007092199,0.007042254,0.007042254,0.007042254,0.007042254,0.006993007,0.006944444,0.006802721,0.006802721,0.006711409
0.027777778,0.025641026,0.024390244,0.024390244,0.023809524,0.023809524,0.023809524,0.023809524,0.023255814,0.022727273,0.021276596,0.021276596,0.020408163
0.02173913,0.428571429,0.215686275,0.019607843,0.019230769,0.019230769,0.596153846,0.019230769,0.018867925,0.203703704,0.01754386,0.01754386,0.016949153
0.010416667,0.515151515,0.00990099,0.00990099,0.009803922,0.009803922,0.009803922,0.009803922,0.009708738,0.009615385,0.009345794,0.009345794,0.467889908
0.017857143,0.525423729,0.344262295,0.016393443,0.016129032,0.016129032,0.016129032,0.177419355,0.015873016,0.015625,0.014925373,0.014925373,0.304347826
0.166666667,0.007751938,0.007633588,0.312977099,0.007575758,0.007575758,0.007575758,0.007575758,0.458646617,0.007462687,0.00729927,0.00729927,0.007194245
